id,title,description,link,image_link,availability,price,brand,google_product_category
"quick-heal-total-security-1pc-1y","Quick Heal Total Security","Complete ransomware protection with safe banking tools for 1 PC.","http://localhost:5051/products/quick-heal-total-security-1pc-1y/","https://placehold.co/800x600/png?text=Quick+Heal+Total+Security","in stock","69.99 INR","Quick Heal","Software > Computer Software > Antivirus & Security Software"
"kaspersky-standard-1device-1y","Kaspersky Standard","Real-time protection with performance boost for 1 device.","http://localhost:5051/products/kaspersky-standard-1device-1y/","https://placehold.co/800x600/png?text=Kaspersky+Standard","in stock","64.99 INR","Kaspersky","Software > Computer Software > Antivirus & Security Software"
"mcafee-total-protection-5devices-1y","McAfee Total Protection","Cross-device security + identity monitoring for 5 devices.","http://localhost:5051/products/mcafee-total-protection-5devices-1y/","https://placehold.co/800x600/png?text=McAfee+Total+Protection","in stock","89.99 INR","McAfee","Software > Computer Software > Antivirus & Security Software"
"norton-360-deluxe-5devices-1y","Norton 360 Deluxe","Secure VPN + dark web monitoring for 5 devices.","http://localhost:5051/products/norton-360-deluxe-5devices-1y/","https://placehold.co/800x600/png?text=Norton+360+Deluxe","in stock","94.99 INR","Norton","Software > Computer Software > Antivirus & Security Software"
"bitdefender-total-security-5devices-1y","Bitdefender Total Security","Multi-layer protection with minimal system impact.","http://localhost:5051/products/bitdefender-total-security-5devices-1y/","https://placehold.co/800x600/png?text=Bitdefender+Total+Security","in stock","99.99 INR","Bitdefender","Software > Computer Software > Antivirus & Security Software"
"avast-premium-security-1pc-1y","Avast Premium Security","Advanced protection against phishing, ransomware, and hackers.","http://localhost:5051/products/avast-premium-security-1pc-1y/","https://placehold.co/800x600/png?text=Avast+Premium+Security","in stock","54.99 INR","Avast","Software > Computer Software > Antivirus & Security Software"
"eset-internet-security-1device-1y","ESET Internet Security","Secure browsing, banking, and webcam for 1 device.","http://localhost:5051/products/eset-internet-security-1device-1y/","https://placehold.co/800x600/png?text=ESET+Internet+Security","in stock","63.99 INR","ESET","Software > Computer Software > Antivirus & Security Software"
"trend-micro-maximum-security-3devices-1y","Trend Micro Maximum Security","Privacy scanner and pay guard for 3 devices.","http://localhost:5051/products/trend-micro-maximum-security-3devices-1y/","https://placehold.co/800x600/png?text=Trend+Micro+Maximum+Security","in stock","82.99 INR","Trend Micro","Software > Computer Software > Antivirus & Security Software"
"sophos-home-premium-10devices-1y","Sophos Home Premium","Business-grade protection for up to 10 devices.","http://localhost:5051/products/sophos-home-premium-10devices-1y/","https://placehold.co/800x600/png?text=Sophos+Home+Premium","in stock","109.99 INR","Sophos","Software > Computer Software > Antivirus & Security Software"
"malwarebytes-premium-1device-1y","Malwarebytes Premium","Stops malware, ransomware, and malicious sites.","http://localhost:5051/products/malwarebytes-premium-1device-1y/","https://placehold.co/800x600/png?text=Malwarebytes+Premium","in stock","49.99 INR","Malwarebytes","Software > Computer Software > Antivirus & Security Software"
